tconst	averageRating	numVotes
tt0000296	5.8	289
tt0000298	4.0	14
tt0000299	5.7	346
tt0000300	6.8	1556
tt0000301	4.4	498
tt0000302	5.3	360
tt0000303	4.5	14
tt0000304	6.0	1560
tt0000305	3.4	14
tt0000306	5.4	285
tt0000307	4.8	111
tt0000308	5.2	165
tt0000309	6.1	1069
tt0000310	6.4	41
tt0000313	5.8	898
tt0000318	4.2	24
tt0000319	5.7	342
tt0000320	3.2	14
tt0000321	4.8	261
tt0000323	3.6	13
tt0000326	3.4	14
tt0000328	4.6	20
tt0000333	3.8	14
tt0000335	5.5	64
tt0000336	4.2	13
tt0000337	4.9	404
tt0000340	4.9	367
tt0000341	4.9	426
tt0000343	3.6	14
tt0000344	3.7	14
tt0000345	3.4	13
tt0000346	4.7	266
tt0000347	4.3	137
tt0000349	5.5	162
tt0000350	5.7	829
tt0000352	5.1	81
tt0000353	5.1	419
tt0000355	6.1	881
tt0000357	5.8	577
tt0000358	6.2	865
tt0000359	7.1	3475
tt0000361	6.4	31
tt0000363	6.2	237
tt0000364	5.5	187
tt0000368	5.5	28
tt0000370	5.6	710
tt0000373	6.3	157
tt0000376	5.4	27
tt0000377	6.0	172
tt0000379	3.6	18
tt0000380	5.9	33
tt0000381	3.1	33
tt0000384	5.8	422
tt0000387	5.1	482
tt0000388	5.2	171
tt0000399	6.1	867
tt0000400	5.0	22
tt0000401	4.3	12
tt0000402	5.2	20
tt0000403	4.2	12
tt0000404	4.2	12
tt0000405	4.2	12
tt0000406	5.3	54
tt0000407	3.5	56
tt0000408	3.4	11
tt0000409	5.1	323
tt0000410	6.7	1171
tt0000412	3.9	36
tt0000413	5.5	562
tt0000414	5.4	875
tt0000415	3.7	13
tt0000416	5.4	239
tt0000417	8.1	59850
tt0000418	2.6	10
tt0000419	4.8	12
tt0000420	6.2	3116
tt0000421	3.4	12
tt0000422	3.9	14
tt0000423	5.5	290
tt0000425	4.2	31
tt0000426	3.2	27
tt0000427	3.0	12
tt0000428	2.4	11
tt0000430	5.8	767
tt0000432	5.7	295
tt0000435	2.4	11
tt0000436	6.1	593
tt0000437	5.1	353
tt0000439	7.2	22449
tt0000440	5.3	280
tt0000441	5.9	17
tt0000442	4.5	123
tt0000443	4.0	19
tt0000446	3.9	30
tt0000447	6.4	2913
tt0000448	3.4	10
tt0000451	6.4	1157
